date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:32:48	115/115	---MCZ	200	added ('OK')	text/plain	date:Mon,%2019%20Dec%202022%2013:32:49%20GMT	https://juvenusfuturum.com/robots.txt		(from )
08:32:48	103101/103101	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Dec%202022%2013:32:49%20GMT	https://juvenusfuturum.com/juvenus-capital/	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/juvenus-capital/index.html	(from )
08:32:49	94889/94889	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Nov%202022%2014:56:45%20GMT	https://juvenusfuturum.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:49	11256/11256	---M--	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://juvenusfuturum.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:49	4186/4186	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://juvenusfuturum.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.1.1	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-includes/js/mediaelement/wp-mediaelement.min6a4d.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:49	217/217	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Oct%202022%2013:45:16%20GMT	https://juvenusfuturum.com/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-includes/css/classic-themes.min68b3.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:50	20581/20581	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jun%202021%2023:27:54%20GMT	https://juvenusfuturum.com/wp-content/plugins/benaa-framework/core/xmenu/assets/css/amination.css?ver=6.1.1	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/plugins/benaa-framework/core/xmenu/assets/css/amination6a4d.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:50	2803/2803	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Dec%202022%2016:00:27%20GMT	https://juvenusfuturum.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.1	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/plugins/contact-form-7/includes/css/stylesa78f.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:50	5381/5381	---M--	200	added ('OK')	text/css	date:Tue,%2029%20Nov%202022%2000:47:18%20GMT	https://juvenusfuturum.com/wp-content/plugins/cresta-whatsapp-chat/css/cresta-whatsapp-chat-front-css.min.css?ver=1.2.9	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/plugins/cresta-whatsapp-chat/css/cresta-whatsapp-chat-front-css.min077c.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:50	268/268	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jun%202021%2023:28:00%20GMT	https://juvenusfuturum.com/wp-content/plugins/wordpress-social-login/assets/css/style.css?ver=6.1.1	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/plugins/wordpress-social-login/assets/css/style6a4d.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:57	30939/30939	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Dec%202022%2015:47:58%20GMT	https://juvenusfuturum.com/wp-content/plugins/essential-real-estate/lib/smart-framework/assets/vendors/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/plugins/essential-real-estate/lib/smart-framework/assets/vendors/font-awesome/css/font-awesome.min1849.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:57	30163/30163	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Dec%202022%2015:47:59%20GMT	https://juvenusfuturum.com/wp-content/plugins/essential-real-estate/public/assets/packages/jquery-ui/jquery-ui.min.css?ver=1.11.4	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/plugins/essential-real-estate/public/assets/packages/jquery-ui/jquery-ui.mine899.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:57	3190/3190	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Dec%202022%2015:47:59%20GMT	https://juvenusfuturum.com/wp-content/plugins/essential-real-estate/public/assets/packages/owl-carousel/assets/owl.carousel.min.css?ver=2.3.4	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/plugins/essential-real-estate/public/assets/packages/owl-carousel/assets/owl.carousel.min531b.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:57	18738/18738	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Dec%202022%2015:47:59%20GMT	https://juvenusfuturum.com/wp-content/plugins/essential-real-estate/public/assets/packages/light-gallery/css/lightgallery.min.css?ver=1.2.18	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/plugins/essential-real-estate/public/assets/packages/light-gallery/css/lightgallery.min8d77.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:58	31798/31798	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Dec%202022%2015:48:00%20GMT	https://juvenusfuturum.com/wp-content/plugins/essential-real-estate/public/assets/css/main.min.css?ver=4.1.2	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/plugins/essential-real-estate/public/assets/css/main.min8aee.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:58	160430/160430	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Dec%202022%2015:47:59%20GMT	https://juvenusfuturum.com/wp-content/plugins/essential-real-estate/public/assets/packages/bootstrap/css/bootstrap.min.css?ver=4.6.2	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/plugins/essential-real-estate/public/assets/packages/bootstrap/css/bootstrap.min83b6.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:58	14494/14494	---M--	200	added ('OK')	text/css	date:Tue,%2029%20Nov%202022%2003:44:56%20GMT	https://juvenusfuturum.com/wp-content/plugins/loftloader/assets/css/loftloader.min.css?ver=2022112601	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/plugins/loftloader/assets/css/loftloader.mina709.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:58	485416/485416	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jun%202021%2023:27:58%20GMT	https://juvenusfuturum.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.5.0	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/plugins/js_composer/assets/css/js_composer.mine6df.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:59	30999/30999	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jun%202021%2023:27:54%20GMT	https://juvenusfuturum.com/wp-content/themes/benaa/assets/plugins/fonts-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/themes/benaa/assets/plugins/fonts-awesome/css/font-awesome.min1849.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:59	22194/22194	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jun%202021%2023:27:54%20GMT	https://juvenusfuturum.com/wp-content/themes/benaa/assets/plugins/fonts-awesome/css/font-awesome-animation.min.css?ver=6.1.1	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/themes/benaa/assets/plugins/fonts-awesome/css/font-awesome-animation.min6a4d.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:59	50251/50251	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jun%202021%2023:27:54%20GMT	https://juvenusfuturum.com/wp-content/themes/benaa/assets/plugins/icomoon/css/icomoon.css?ver=6.1.1	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/themes/benaa/assets/plugins/icomoon/css/icomoon6a4d.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:59	3119/3119	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jun%202021%2023:27:54%20GMT	https://juvenusfuturum.com/wp-content/themes/benaa/assets/plugins/owl-carousel/assets/owl.carousel.min.css?ver=2.1.0	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/themes/benaa/assets/plugins/owl-carousel/assets/owl.carousel.min3c94.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:32:59	18738/18738	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jun%202021%2023:27:54%20GMT	https://juvenusfuturum.com/wp-content/themes/benaa/assets/plugins/light-gallery/css/lightgallery.min.css?ver=6.1.1	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/themes/benaa/assets/plugins/light-gallery/css/lightgallery.min6a4d.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:33:00	3280/3280	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jun%202021%2023:27:54%20GMT	https://juvenusfuturum.com/wp-content/themes/benaa/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.min.css?ver=6.1.1	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/themes/benaa/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.min6a4d.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:33:00	353763/353763	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202022%2022:36:30%20GMT	https://juvenusfuturum.com/wp-content/themes/benaa/assets/preset/4305.style.min.css?ver=6.1.1	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/themes/benaa/assets/preset/4305.style.min6a4d.css	(from https://juvenusfuturum.com/juvenus-capital/)
08:33:00	27639/27639	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jun%202021%2023:28:06%20GMT	https://juvenusfuturum.com/wp-content/uploads/smile_fonts/Defaults/Defaults.css?ver=3.19.6	C:/My%20Web%20Sites/Plantilla/juvenusfuturum.com/wp-content/uploads/smile_fonts/Defaults/Defaults9322.css	(from https://juvenusfuturum.com/juvenus-capital/)
